700.	-0.197	-2.000	-4.05	3.8234	-1.4312	2652.
600.	2.206	-1.713	-12.17	2.1835	-0.6369	3851.
500.	3.594	-2.815	-20.86	1.2278	-0.4555	5223.
400.	4.738	-2.308	-33.25	0.4277	-0.3057	6834.
300.	4.305	4.013	-39.76	0.0076	-0.0754	8807.
250.	2.373	10.175	-41.42	0.0103	-0.0714	10055.
200.	5.041	10.647	-45.91	0.0044	0.0404	11550.
150.	5.886	13.881	-49.92	0.0033	0.0242	13449.
329.00	52.0	0	0	0	0	0
1000.	-4.981	1.151	14.76	8.3150	-0.0222	-262.
950.	-6.219	4.115	11.95	7.7161	-0.3680	169.
925.	-4.964	5.922	10.47	6.9844	-0.8200	392.
900.	-3.769	6.450	8.56	6.6335	-1.1165	620.
850.	-0.601	6.244	4.62	5.6651	-1.2649	1090.
800.	1.932	4.885	2.07	5.2839	-1.2382	1582.
700.	1.776	4.532	-4.00	3.5149	-0.7233	2650.
600.	1.676	7.189	-11.43	2.0373	-0.2427	3850.
500.	3.976	13.577	-19.93	1.1099	-0.1310	5227.
400.	5.341	17.598	-32.12	0.4596	0.0647	6844.
300.	5.477	19.806	-38.79	0.0387	0.1149	8833.
250.	4.539	18.326	-43.26	0.0134	0.0071	10072.
200.	3.769	12.306	-46.37	0.0045	-0.0655	11566.
150.	5.608	15.566	-49.99	0.0034	0.0365	13460.
330.00	52.0	0	0	0	0	0
1000.	2.388	1.776	14.29	8.2371	-0.0245	-259.
950.	4.216	3.084	11.51	6.8545	0.0219	172.
925.	5.307	4.287	10.02	6.4742	0.0976	395.
900.	5.181	4.515	8.32	6.0128	0.1372	622.
850.	2.798	6.471	4.62	5.5461	0.1605	1092.
800.	2.895	9.981	2.90	5.3843	0.1337	1585.
700.	3.737	12.369	-2.73	3.4987	-0.0165	2657.
600.	1.862	13.632	-9.25	1.4685	-0.3285	3864.
500.	3.951	17.361	-17.20	0.5840	-0.1818	5255.
400.	4.241	25.897	-29.76	0.2926	0.0113	6886.
300.	0.825	26.423	-42.99	0.1052	-0.1505	8882.
250.	3.182	19.623	-45.70	0.0110	0.0623	10096.
200.	5.186	15.117	-46.96	0.0044	-0.0416	11582.
150.	5.791	17.038	-50.38	0.0036	0.0457	13472.
331.00	52.0	0	0	0	0	0
1000.	-0.078	12.832	14.95	8.4729	-0.0401	-251.
950.	1.071	17.016	12.11	8.3288	-0.1665	180.
925.	2.294	17.766	10.57	8.2368	-0.3427	403.
900.	2.872	18.101	8.97	7.6892	-0.4355	632.
850.	3.136	17.781	5.68	6.6853	-0.3357	1103.
800.	3.972	16.912	3.38	6.1127	-0.1676	1598.
700.	2.796	16.493	-2.16	3.3253	-0.0939	2671.
600.	0.998	20.309	-8.10	2.6593	-0.3149	3884.
500.	1.365	21.479	-16.41	1.4212	-0.1261	5281.
400.	3.425	26.053	-28.12	0.4251	-0.0692	6921.
300.	2.022	25.716	-44.25	0.0792	-0.0371	8918.
